;Scavenger Free;Unnamed: 1_level_0;Mn;Unnamed: 3_level_0;Co;Unnamed: 5_level_0;Cr;Unnamed: 7_level_0
;X;Y;X;Y;X;Y;X;Y
77;117.332087;0.837501419;135.3813258;0.923373013;160.7954501;0.908265984;124.2796857;1.008002687
78;117.4864771;0.817039269;135.4139182;0.907292543;161.5869957;0.895678996;124.5152713;0.995627092
79;118.8061269;0.797925346;136.179208;0.939800593;164.0110021;0.881921922;126.2596948;0.981778814
80;119.5460326;0.791351172;139.8257915;0.906964842;164.2468138;0.864808776;129.0424721;0.994355201
81;121.4675919;0.861190226;140.328659;0.928157028;167.7418865;0.891596951;129.0452205;1.006939832
82;121.8617614;0.847555697;143.3232731;0.918805005;168.9110907;0.872432893;131.0252868;0.98097814
83;123.3644154;0.817767592;143.6369138;0.900136858;170.3826661;0.903443401;133.9903605;1.001681566
84;123.4412643;0.805951785;145.7767665;0.878422008;172.314545;0.91662158;135.3940182;0.981489542
85;123.4469138;0.831820195;148.4755338;0.870024243;173.4972826;0.876766712;138.5762825;1.004779167
86;124.1888606;0.794180599;149.1951852;0.891940357;173.8979415;0.892845897;138.8875489;0.975239297
87;127.0194808;0.823769413;149.2626895;0.837336802;175.4875983;0.897735209;140.5591621;0.991699243
88;128.2079443;0.810132528;152.8445514;0.871846545;178.3929858;0.865565845;143.0775565;1.006024281
89;128.9993371;0.796846394;153.6415366;0.884166642;178.3971593;0.884675841;143.5344149;0.976352889
90;132.9736318;0.80976882;154.0413047;0.896167474;182.2385626;0.895268173;145.323838;0.986703692
91;132.9809036;0.843065658;156.1617632;0.906881434;182.8940104;0.86566902;148.4243215;0.9992267
92;134.0484938;0.795533003;156.9407882;0.836964456;183.3135337;0.881531746;149.076116;0.974942132
93;134.434044;0.829025979;157.6904203;0.874925897;186.7130701;0.860547263;152.8701461;0.98904093
94;137.7428311;0.825485475;158.1700658;0.888977322;186.8054858;0.894031121;152.8729327;1.001800349
95;137.9101512;0.812271107;159.4798067;0.859129863;188.1029064;0.874159855;153.5293093;0.976454335
96;138.5317142;0.800707125;162.6934646;0.87029669;191.1665731;0.859541516;158.0350165;0.997997994
97;141.7083461;0.798206994;163.0316299;0.842691046;191.9007676;0.887432378;158.426234;0.970846638
98;143.6958925;0.806495521;165.4131046;0.836240181;192.4801757;0.873354506;158.7125388;0.982881099
99;147.352643;0.820213373;166.174701;0.859709275;195.5538901;0.862495905;162.4042695;1.000898146
100;147.9556343;0.803908756;167.3236604;0.877738404;196.4017668;0.887419028;163.3247364;0.972463452
101;149.2626131;0.836987229;170.7930644;0.860204956;200.1060798;0.876454744;163.4797423;0.989458915
102;152.4350938;0.815479059;171.9110996;0.887782976;200.898058;0.86584867;164.0648814;0.966984608
103;152.6976572;0.805398916;171.9794666;0.837129597;201.299862;0.887171452;167.9601283;0.981655135
104;157.4047562;0.83984706;171.987666;0.874673749;205.2015907;0.87090472;167.9632203;0.995812846
