Scavenger free,,Co,,Cr,,Mn,
X,Y,X,Y,X,Y,X,Y
0.6571428571428571,0.674053243344582,0.782957393483709,0.6568129641689526,0.824561403508772,0.6210134917345861,0.7283208020050125,0.6630763259855679
0.6802005012531328,0.6618636486228696,0.7934837092731828,0.6520954617514917,0.8506265664160402,0.6115817759622153,0.7468671679197995,0.6567892829185826
0.700751879699248,0.64927870858248,0.8235588972431078,0.6462096843157765,0.875187969924812,0.602542774258481,0.7744360902255638,0.6501144593767887
0.718295739348371,0.6355106927423547,0.8441102756892231,0.6407113584486152,0.9007518796992482,0.5927170287924537,0.7964912280701755,0.6430423170787865
0.7363408521303259,0.6217430058084847,0.8631578947368421,0.6320624395634757,,,0.819047619047619,0.634395700537433
0.7609022556390975,0.6016803820575061,0.8781954887218044,0.6265604957275079,,,0.8395989974937343,0.6273225715206653
,,0.9017543859649122,0.6183082377860665,,,0.8621553884711779,0.619463356554115
,,0.9248120300751881,0.6096619501509681,,,0.8862155388471176,0.6100303251567241
,,0.9363408521303256,0.6010080976720016,,,0.9052631578947368,0.6013814062715848
,,0.9583959899749375,0.5931485537991963,,,0.9293233082706767,0.591554674086792
