;Baseline;Unnamed: 1_level_0;CeO2;Unnamed: 3_level_0
133;413.1715247;0.955088872;;
134;415.4095251;1.036520425;;
135;415.6811458;1.002584611;;
136;415.719713;0.962628923;;
137;421.953596;0.985504544;;
138;426.7376509;1.028989906;;
139;427.2440384;1.013607824;;
140;430.0791391;1.038800311;;
141;431.6940956;1.004985229;;
142;438.2138473;0.990948059;;
143;442.4332558;1.039935456;;
144;443.4212845;1.016665061;;
145;443.852292;0.982579859;;
146;445.0577433;1.029967969;;
147;454.0546795;0.998831129;;
148;457.8537475;1.013429231;;
149;458.1939339;1.031349215;;
150;458.2402146;0.983402389;;
151;458.649487;1.039919957;;
152;462.5843239;1.019730004;;
153;469.2336795;1.001046704;;
154;472.5496672;1.039333194;;
155;473.2288896;1.009963217;;
156;475.756391;0.983943168;;
157;477.86324;1.023365833;;
